merchant_core,channels,category,subcategory,notes
CIVIL LIBERTIES TR LONDON,VIS,Giving / Political,Subscriptions,
CLARE CARDEW CLARE - HOUSEWORK,BP,Personal / Misc,Cleaning,
CLARE CARDEW CLEANING,BP,Personal / Misc,Cleaning,
CLIVE MILES RICHAR INSTANT-TRANSFER,OBP,Crypto,Crypto Transfer,
CLIVE RICHARDSON,OBP,Personal / Misc,Other,
CLIVE RICHARDSON CMR,BP,Crypto,Crypto Transfer,
CLIVE RICHARDSON REFUND,CR,Income,Refunds / Reimbursements,
CLIVE RICHARDSON WISE MAN ONCE SAID,BP,Crypto,Crypto Transfer,
CODEIUM.COM CODEIUM.COM,VIS INT'L,Tech,AI / Dev Tools,
CODEIUM.COM HTTPSCODEIUM.,VIS INT'L,Tech,AI / Dev Tools,
CODEIUM.COM MOUNTAIN VIEW,VIS INT'L,Tech,AI / Dev Tools,
COINBASE LONDON,VIS,Crypto,Crypto Exchange,
COINBASE RTL-FW74J LONDON,VIS,Crypto,Crypto Exchange,
COINBASE.COM GBP LONDON,VIS,Crypto,Crypto Exchange,
CORBY CONSERVATIVE CORBY,))),Giving / Political,Subscriptions,
COSTA COFFEE 43011 RUSHDEN,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
CURRYS KETTERING KETTERING,VIS,Tech,Devices / Adapters / Cables,
"CURSOR, AI POWERED CURSOR.COM",VIS INT'L,Tech,AI / Dev Tools,
D&G APPLIANCE CARE,DD,Housing & Utilities,Appliance Cover,
DAYTRIPPER BAR LIVERPOOL AIR,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
DUNELM F0625 KETTERING,))),Personal / Misc,Garden / House,
DVLA VEHICLE TAX SWANSEA,VIS,Transport,Car / Motoring,
DWP SP,CR,Income,State Pension / DWP,
DWP WFP,CR,Income,State Pension / DWP,
DWP XB,CR,Income,State Pension / DWP,
E.ON NEXT COVENTRY,VIS,Housing & Utilities,Electricity / Gas,
E.ON NEXT LTD,DD,Housing & Utilities,Electricity / Gas,
E.ON NEXT LTD FIRST PAYMENT,DD,Housing & Utilities,Electricity / Gas,
ERIN ROSE BODGE GROOM,BP,Bodge / Pet,Grooming,
ESQUIRES COFFEE KETTERING,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
FASTHOSTS GLOUCESTER,VIS,Tech,Hosting / Domains,
FERMYN WOODS COUNT KETTERING,VIS,Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
FREEDOM LEISURE EAST HOATHLY,))),Personal / Misc,Entertainment,
FUNDMENT LIMITED,BP,Finance,Other Finance,Investment platform
GEN REGISTER OFFIC SOUTHPORT,VIS,Personal / Misc,Other,
GOOGLE ONE LONDON,VIS,Tech,Cloud Storage,
GOOGLE PLAY APPS LONDON,VIS,Tech,Software / Apps,
HALFORDS 0571 KETTERING,))),Transport,Car / Motoring,
HM PASSPORT OFFICE DURHAM,VIS,Isle of Man / Plan B,Documents,
HOLLAND & BARRETT KETTERING,))),Health,Supplements,
HORTS TOWNHOUSE BRISTOL,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
HOSTINGER UK LONDON,VIS,Tech,Hosting / Domains,
HSBC BNK VSA454638 454638******8215,BP,Personal / Misc,Unknown,
HSBC CREDIT CARD,DD,Finance,Credit Card Payments,
IBIS BRISTOL CENTE BRISTOL,"))), VIS",Transport,Travel,
INTERNET TRANSFER,TFR,Finance,Other Finance,Internal bank transfer
IPSL,CR,Income,Salary,
IPSL NORTHAMPTON,))),Income,Salary,
JAMES SYKES J SYKES RENT,CR,Income,Rent Received,
JAMIE'S QUALITY BU KETTERING,"))), VIS",Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
JOLLYES - THE PET WALTHAM ABBEY,"))), VIS",Bodge / Pet,Food / General,
KETTERING MOTORIST KETTERING,"))), VIS",Transport,Car / Motoring,
KETTERING POST OFF BOLTON,))),Isle of Man / Plan B,Documents,
LEFT HANDED GIANT BRISTOL,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
LIDL GB KETTERING KETTERING,))),Food & Groceries,Groceries,
LIDL GB KETTERING LIDL GB KETTE,"))), VIS",Food & Groceries,Groceries,
LNET/LADADATE.COM LIMASSOL,VIS INT'L,Personal / Misc,Other,
LOAN CAPITAL FROM 402607-36231640,CR,Income,Transfers In,
LOAN REPAYMENT A/C 402607-36231640,DR,Finance,Loan Repayment,
M6 TOLL LICHFIELD,))),Transport,Tolls,
MAYA MOBILE AC7YQB 866-2769470,VIS INT'L,Tech,ESIM,
MICROSOFT* MSBILL.INFO,VIS,Tech,Software / Apps,
MIHAI-DANIEL DEDIU CLIVE RICHARDSON,BP,Personal / Misc,Unknown,
MISS EMILY CHAPMAN BODGE,BP,Bodge / Pet,Grooming,
MNK* GATEWAY HARROGATE,VIS,Transport,Tolls,
MOSS-699 NORTHAMPTONSH,VIS,Personal / Misc,Clothing / Personal,
MR A HOLLAND GARDEN CLEARANCE,BP,Personal / Misc,Garden / House,
MR WOLFS BRISTOL,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
MY LATIN LIFE MYLATINLIFE.C,VIS INT'L,Isle of Man / Plan B,Professional Advice,
NATIONWIDE HOMEINS,DD,Housing & Utilities,Home Insurance,
NEXT RETAIL LTD RUSHDEN,))),Personal / Misc,Clothing / Personal,
NNC-FERMYN WOODS C KETTERING,"))), VIS",Personal / Misc,Entertainment,
NON-STERLING TRANSACTION FEE,"CR, DR",Finance,Bank Fees,
NORTH NORTHAMPTONS KETTERING,))),Personal / Misc,Other,
NORTH NORTHANTS-CB CORBY,))),Housing & Utilities,Council Tax,
NORTHNORTHANTS,DD,Housing & Utilities,Council Tax,
O2,DD,Housing & Utilities,Internet / Phone,
OCEANBLUE FINTECH LITHUANIA,VIS INT'L,Finance,Other Finance,Fintech service
OPENAI * SU HTTPSOPENAI.C,VIS INT'L,Tech,AI / Dev Tools,
OPENAI * SU OPENAI.COM,VIS INT'L,Tech,AI / Dev Tools,
OPENAI OPENAI.COM,VIS INT'L,Tech,AI / Dev Tools,
"OPENROUTER, INC OPENROUTER.AI",VIS INT'L,Tech,AI / Dev Tools,
"OPENROUTER, LLC HTTPSOPENROUT",VIS INT'L,Tech,AI / Dev Tools,
"OPENROUTER, LLC OPENROUTER.AI",VIS INT'L,Tech,AI / Dev Tools,
ORIGINUK LONDON,VIS,Personal / Misc,Clothing / Personal,
PARKING DEALS SUTTON,VIS,Transport,Parking,
PAYPAL *,"VIS, VIS INT'L",Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL * COM,VIS INT'L,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL * VISA DIRECT,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL **P3,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *.NET,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *EB FROM BL,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *EBAY UK,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *EMR ONLINE,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *GFM GOFUND,VIS INT'L,Giving / Political,Crowdfunding,
PAYPAL *GFM INTERN,VIS,Giving / Political,Crowdfunding,
PAYPAL *PYPL PAYIN,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL *SOUL DESTI,VIS,Personal / Misc,Other,PayPal pass-through — needs second-pass via merchant after asterisk
PAYPAL PAYMENT FIRST PAYMENT,DD,PayPal,Uncategorised,
POST OFFICE COUNTE KETTERING,))),Isle of Man / Plan B,Documents,
PREMIER INN ISLE OF MAN,VIS,Transport,Travel,
PRIME VIDEO * 353-12477661,VIS,Tech,Subscriptions,
PRIME VIDEO RENT / AMZN.UK/BILL,VIS,Tech,Subscriptions,
PROTYRE KETTERING NORTHANTS,))),Transport,Car / Motoring,
RED VELVET JIVE WIGSTON,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
RESTOREBRITAIN.ORG OXFORD,VIS,Giving / Political,Charity,
REVOLUT**1931*,VIS,Crypto,Crypto Transfer,Ambiguous: could be bank transfer or card spend. Default to Crypto Transfer — refine later.
ROADCHEF COSTA WORCESTERSHIR,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
ROSEMARIE PALMER CLIVE,BP,Isle of Man / Plan B,Accommodation,
S L MEAD HAPPY DAYS,BP,Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
SAGE PHARMACY KETTERING,))),Health,Other,
SAINSBURY'S S/MKT KETTERING,"))), VIS",Food & Groceries,Groceries,
SAINSBURYS PETROL KETTERING,"))), VIS",Food & Groceries,Petrol,
SAINSBURYS S/MKTS KETTERING,"))), VIS",Food & Groceries,Groceries,
SECURE LEGACY GIBRALTAR,VIS INT'L,Finance,Other Finance,Insurance / legacy planning
SEMPTI/SAKURADATE. NICOSIA,VIS INT'L,Personal / Misc,Other,
SHOE ZONE KETTERING,))),Personal / Misc,Clothing / Personal,
SQ * MONDAYS RUSHDEN,))),Personal / Misc,Other,Square POS terminal — merchant varies
SQ *A & R CLEANERS KETTERING,))),Housing & Utilities,Cleaning / Housecare,
SQ *THE NURSE CLIN AMPTHILL,VIS,Health,Other,
SQ *THE NURSE CLIN ASTWOOD,VIS,Health,Other,
STARBUCKS COFFEE C LIVERPOOL,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
SUMUP * MUNC CORBY,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
SUMUP * RUGBY,))),Personal / Misc,Entertainment,
T K MAXX KETTERING,))),Personal / Misc,Clothing / Personal,
TAXFIX LONDON,VIS,Isle of Man / Plan B,Professional Advice,
TESCO BANK,DD,Finance,Credit Card Payments,
TESCO BANK 518652******1014,OBP,Finance,Credit Card Payments,
TESCO BANK FIRST PAYMENT,DD,Finance,Credit Card Payments,
THE BEARTARIA TIME BEARTARIATIME,VIS INT'L,Giving / Political,Subscriptions,
THE BOOK COMPANY ISLE OF MAN,))),Transport,Travel,
THE CONISTER ARMS DOUGLAS,VIS,Food & Groceries,Pubs,
THE FORGE DOUGLAS,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
THE ISLE OF MAN ST DOUGLAS,VIS,Transport,Travel,
TIMPSON LTD 803 KETTERING,VIS,Personal / Misc,Clothing / Personal,
TORO 02 KETTERING,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
TRANSAK* IN LONDON,VIS,Crypto,Crypto Exchange,
VIETNAMCUPID - SUB ONLINE,VIS INT'L,Personal / Misc,Other,
VSA_OHAYU NICOSIA,VIS INT'L,Personal / Misc,Other,
WELCOME BREAK NEWPORT PAGNE,))),Food & Groceries,Takeaway / Cafes / Pubs / Restaurants,
WICKES KETTERING KETTERING,))),Personal / Misc,Garden / House,
WINDSURF WINDSURF.COM,VIS INT'L,Tech,AI / Dev Tools,
WM MORRISONS STORE KETTERING,))),Food & Groceries,Groceries,
